file,line,scope,source,flags,v8_verdict,v8_worst_attack,v8_ms_15k,v8_ms_30k,v8_ms_60k,jsc_verdict,jsc_worst_attack,jsc_ms_15k,jsc_ms_30k,jsc_ms_60k,disposition
apps/mobile/components/session/tool/shared/registry.ts,36,tool renderers,_,g,linear,"(""_""+""\n"")*",0.4,0.3,0.8,linear,"(""_""+"" "")*",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/registry.ts,37,tool renderers,-,g,linear,"(""-""+""\n"")*",2.0,0.4,1.4,linear,"(""-""+""\r\n"")*",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/session-helpers.tsx,202,tool renderers,^(\w+)\s*\((\w+)\),,linear,"AST ""\\w+"": prefix+run("" "")+""\u2028""+x",0.0,1.8,0.0,linear,"AST ""\\s*"": prefix+x+run(""a"")+""\u2029""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,68,tool renderers,\.(html?,htm)$|i,linear,"run("" "")+stop",0.0,0.0,0.3,linear,"""htm""+run(""a"")+""\r""+x",0.0,0.1,0.0,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,118,tool renderers,\.pdf$,i,linear,"("".pdf""+""\n"")*",0.0,0.0,0.3,linear,""".pdf""+run("" "")+""\u2028""+x",0.1,0.0,0.0,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,119,tool renderers,\.(pptx?,key|odp)$|i,linear,"("".""+""\n"")*",0.1,0.0,0.3,linear,"("".""+""\r\n"")*",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,120,tool renderers,\.(docx?,rtf|odt)$|i,linear,"run("" "")+stop",0.0,0.0,0.3,linear,"("".""+""\r\n"")*",0.0,0.1,0.2,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,121,tool renderers,\.(xlsx?,ods)$|i,linear,""".""+run("" "")+""\u2028""+x",0.4,0.0,0.0,linear,AST (example minus last)*,0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,122,tool renderers,\.(csv,tsv)$|i,linear,"("".""+""\n"")*",0.1,0.0,0.7,linear,"AST (example minus last+""\n"")*",0.1,0.0,0.0,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,123,tool renderers,\.(html?,xhtml)$|i,linear,"("".""+""\n"")*",0.1,0.6,0.0,linear,AST (example minus last)*,0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,124,tool renderers,\.(mdx?,markdown)$|i,linear,""".""+run("" "")+""\u2028""+x",0.3,0.0,0.0,linear,"(""markdown""+"" "")*",0.1,0.0,0.0,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,125,tool renderers,\.svg$,i,linear,"("".svg""+""\r\n"")*",0.7,0.0,0.0,linear,AST (example minus last)*,0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,126,tool renderers,\.(zip,tar|gz|tgz|rar|7z)$|i,linear,"("".""+""\n"")*",0.1,0.0,0.4,linear,"(""zip""+"" \n"")*",0.0,2.1,0.2,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,127,tool renderers,\.(png,jpe?g|gif|webp|avif|heic|bmp|ico)$|i,linear,"("".""+""\n"")*",0.1,0.0,0.5,linear,"run(""."")+stop",0.0,0.1,0.2,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,128,tool renderers,\.(mp4,mov|webm|mkv|avi)$|i,linear,"("".""+""\n"")*",0.1,1.9,0.0,linear,"(""avi""+""\n"")*",0.0,0.1,0.2,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,129,tool renderers,\.(mp3,wav|m4a|aac|ogg|flac)$|i,linear,""".""+run("" "")+""\u2028""+x",0.1,0.3,0.0,linear,"(""ogg""+"" \n"")*",0.0,0.0,1.2,linear
apps/mobile/components/session/tool/shared/show-helpers.tsx,131,tool renderers,\.(m?[jt]sx?,py|rb|go|rs|java|cc?|cpp|hpp?|cs|php|sh|bash|zsh|json|ya?ml|toml|sql|s?css|less|vue|swift|kt)$|i,linear,"run("" "")+stop",0.4,0.0,0.0,linear,"(""."")*",0.2,0.5,0.8,linear
apps/mobile/components/session/tool/shared/structured-output.tsx,145,tool renderers,"^\s+File """,,linear,"(""File \""""+""\n"")*",0.0,0.0,0.6,linear,"AST ""\\s+"": prefix+run("" "")+""\r""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/todo-helpers.tsx,80,tool renderers,[^a-zA-Z0-9_-],g,linear,"AST (example minus last+""\n"")*",0.3,0.5,1.1,linear,"run(""."")+stop",0.1,0.1,0.2,linear
apps/mobile/components/session/tool/shared/tool-part.ts,16,tool renderers,"(?<!\\)""",g,linear,"(""\""""+"" \n"")*",1.0,0.2,0.9,linear,"(""\""""+"" \n"")*",0.2,0.4,1.2,linear
apps/mobile/components/session/tool/shared/tool-part.ts,19,tool renderers,{,g,linear,"(""{""+"" \n"")*",0.1,1.2,0.3,linear,"(""{""+""\n"")*",0.1,0.1,0.1,linear
apps/mobile/components/session/tool/shared/tool-part.ts,20,tool renderers,},g,linear,"(""}""+""\n"")*",0.7,0.3,1.0,linear,"(""}""+""\n"")*",0.1,0.1,0.2,linear
apps/mobile/components/session/tool/shared/web-source-row.tsx,24,tool renderers,^https?:\/\/[^\s]+$,i,linear,"(""http""+""\n"")*",0.1,0.0,0.4,linear,"AST ""[^\\s]+"": prefix+run(""a"")+""\r""+x",0.0,0.1,0.1,linear
apps/mobile/components/session/tool/tool-part-renderer.tsx,224,tool renderers,-,g,linear,"(""-""+""\n"")*",2.0,0.4,1.4,linear,"(""-""+""\r\n"")*",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tool-part-renderer.tsx,224,tool renderers,^oc-,,linear,"run("" "")+stop",0.0,0.0,0.3,linear,"""oc-""+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tool-part-renderer.tsx,228,tool renderers,proj-[a-z0-9-]+,,linear,"""proj-""+run("" "")+""\u2028""+x",0.3,0.0,0.0,linear,"""proj-""+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/bash-tool.tsx,365,tool renderers,<bash_metadata>[\s\S]*?<\/bash_metadata>,g,SUPERLINEAR,"AST (example minus last+""\n"")*",1.2,4.4,21.9,SUPERLINEAR,"AST ""[\\s\\S]*?"": (prefix+"" \n"")*",3.5,15.9,75.8,dead: legacy ShellExpandedContent
apps/mobile/components/session/tool/tools/question-tool.tsx,207,tool renderers,"""([^""]+?)""\s*=\s*""([^""]*?)""",g,linear,"(""\""""+""\n"")*",1.6,0.3,0.2,linear,"AST ""[^\""]+?"": (prefix)*",0.0,0.0,0.4,linear
apps/mobile/components/session/tool/tools/read-tool.tsx,159,tool renderers,<content>([\s\S]*?)<\/content>,,SUPERLINEAR,"(""<content>""+""\n"")*",3.0,13.1,57.6,SUPERLINEAR,"(""<content>""+"" \n"")*",6.7,26.5,116.4,dead: legacy ReadExpandedContent
apps/mobile/components/session/tool/tools/read-tool.tsx,164,tool renderers,^\d+:\s,,linear,""":""+run(""a"")+""\u2029""+x",0.0,0.0,0.5,linear,"AST ""\\d+"": prefix+run(""0"")+""\u2029""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/read-tool.tsx,166,tool renderers,^\d+:\s,,linear,""":""+run(""a"")+""\u2029""+x",0.0,0.0,0.5,linear,"AST ""\\d+"": prefix+run(""0"")+""\u2029""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/read-tool.tsx,173,tool renderers,<path>[\s\S]*?<\/path>,g,SUPERLINEAR,"(""<path>""+""a"")*",7.6,30.1,122.2,SUPERLINEAR,"AST ""[\\s\\S]*?"": (prefix)*",8.8,35.1,142.4,dead: legacy ReadExpandedContent
apps/mobile/components/session/tool/tools/read-tool.tsx,174,tool renderers,<type>[\s\S]*?<\/type>,g,SUPERLINEAR,"AST ""[\\s\\S]*?"": (prefix)*",8.9,35.3,140.8,SUPERLINEAR,"(""<type>""+""\n"")*",8.5,34.8,165.0,dead: legacy ReadExpandedContent
apps/mobile/components/session/tool/tools/read-tool.tsx,175,tool renderers,<content>,<\/content>|g,linear,"(""</content>""+""\r\n"")*",0.0,0.1,1.0,linear,"run("" "")+stop",0.1,0.0,0.0,linear
apps/mobile/components/session/tool/tools/session-get-tool.tsx,297,tool renderers,^=== SESSION:\s*(.+?)\s*===$,m,TIMEOUT,"""=== SESSION:""+run("" "")+stop",,,,TIMEOUT,"""=== SESSION:""+run("" "")+stop",,,,dead: legacy parseSessionGet
apps/mobile/components/session/tool/tools/session-get-tool.tsx,300,tool renderers,^ID:\s*(ses_\S+),m,linear,"""ID:""+run("" "")+""\u2028""+x",0.1,0.0,0.4,linear,"AST (example minus last+""\n"")*",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/session-get-tool.tsx,301,tool renderers,Created:\s*(\S+ \S+),,SUPERLINEAR,"(""Created:"")*",12.8,49.5,198.1,SUPERLINEAR,"AST ""\\s*"": (prefix)*",10.6,42.6,172.5,dead: legacy parseSessionGet
apps/mobile/components/session/tool/tools/session-get-tool.tsx,302,tool renderers,Updated:\s*(\S+ \S+),,SUPERLINEAR,"AST ""\\s*"": (prefix)*",15.3,50.0,215.6,SUPERLINEAR,"(""Updated:"")*",10.6,42.3,169.7,dead: legacy parseSessionGet
apps/mobile/components/session/tool/tools/session-get-tool.tsx,303,tool renderers,Changes:\s*(.+),m,linear,"(""Changes:""+""\n"")*",0.3,0.0,0.0,linear,"AST ""\\s*"": prefix+x+run("" "")+""\u2028""+x",0.0,0.1,0.0,linear
apps/mobile/components/session/tool/tools/session-get-tool.tsx,304,tool renderers,Parent:\s*(ses_\S+),m,linear,"(""Parent:""+""\n"")*",0.0,1.3,0.2,linear,"""Parent:""+run("" "")+""\u2028""+x",0.1,0.0,0.1,linear
apps/mobile/components/session/tool/tools/session-get-tool.tsx,307,tool renderers,^Todos:\n([\s\S]*?)(?=\n(?:Lineage,Storage|===))|m,SUPERLINEAR,"(""Todos:\n""+""\r\n"")*",20.2,70.3,342.5,SUPERLINEAR,"AST ""[\\s\\S]*?"": (prefix)*",13.5,54.4,219.8,dead: legacy parseSessionGet
apps/mobile/components/session/tool/tools/session-get-tool.tsx,313,tool renderers,^\[(\w+)\]\s*(.*),,linear,"run("" "")+stop",0.0,0.0,0.3,linear,"AST ""\\w+"": prefix+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/session-get-tool.tsx,325,tool renderers,"=== CONVERSATION \((\d+) msgs?, (\d+) tool calls?",,linear,"("", ""+""\r\n"")*",0.0,0.0,1.1,linear,"AST ""\\d+"": prefix+run(""0"")+""\u2029""+x",0.0,0.1,0.1,linear
apps/mobile/components/session/tool/tools/session-get-tool.tsx,326,tool renderers,=== COMPRESSION ===\n(.+),m,linear,"(""=== COMPRESSION ===\n""+""\n"")*",1.0,0.0,0.0,linear,"(""=== COMPRESSION ===\n""+""\r\n"")*",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/session-spawn-urls.ts,12,tool renderers,^\/projects\/([^/]+)\/sessions\/([^/?#]+),,linear,"(""/projects/""+""\n"")*",0.1,0.5,0.0,linear,"run("" "")+stop",0.2,0.0,0.0,linear
apps/mobile/components/session/tool/tools/show-content-renderer.tsx,549,tool renderers,\.(mdx?,markdown)$|i,linear,""".""+run("" "")+""\u2028""+x",0.3,0.0,0.0,linear,"""md""+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/video-gen-tool.tsx,39,tool renderers,[?#],,linear,"AST (example minus last+""\n"")*",0.0,0.0,0.4,linear,"run("" "")+stop",0.0,0.0,0.0,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,149,tool renderers,^https?:\/\/,,linear,"AST (example minus last+"" \n"")*",0.0,0.0,0.3,linear,"""http""+run("" "")+""\u2028""+x",0.0,0.0,0.0,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,184,tool renderers,^\uFEFF,,linear,"AST (example minus last+""\n"")*",0.0,0.4,0.0,linear,"run(""<"")+stop",0.0,0.0,0.0,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,262,tool renderers,(?=^Title: ),m,linear,"run("" "")+stop",0.0,0.0,0.3,linear,"run(""a"")+stop",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,265,tool renderers,^Title:\s*(.+),m,linear,"AST "".+"": (prefix+""\n"")*",0.0,0.0,0.6,linear,"AST ""\\s*"": prefix+run(""a"")+""\u2029""+x",0.0,0.0,0.3,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,266,tool renderers,^URL:\s*(.+),m,linear,"""URL:""+run("" "")+""\u2028""+x",0.0,0.3,0.0,linear,"run("":"")+stop",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,267,tool renderers,^Text:\s*([\s\S]*?)$,m,linear,"AST ""[\\s\\S]*?"": (prefix+""\n"")*",0.0,0.5,0.0,linear,"AST ""[\\s\\S]*?"": prefix+x+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,283,tool renderers,^https?:\/\/,,linear,"AST (example minus last+"" \n"")*",0.0,0.0,0.3,linear,"""http""+run("" "")+""\u2028""+x",0.0,0.0,0.0,linear
apps/mobile/components/session/tool/tools/web-search-tool.tsx,283,tool renderers,^www\.,,linear,"""www.""+run("" "")+""\r""+x",0.0,0.0,0.3,linear,"""www.""+run("" "")+""\u2029""+x",0.0,0.0,0.0,linear
apps/mobile/hooks/useAuth.ts,457,renderer closure,already registered,already exists|i,linear,"""already registered""+run("" "")+""\u2028""+x",0.4,0.0,0.0,linear,"run(""\"""")+stop",0.0,0.0,0.6,linear
apps/mobile/hooks/useAuth.ts,477,renderer closure,not confirmed,email_not_confirmed|i,linear,"run(""a"")+stop",0.0,0.4,0.0,linear,"run("" "")+stop",0.1,0.0,0.0,linear
apps/mobile/hooks/useAuth.ts,904,renderer closure,redirect,i,linear,"run(""a"")+stop",0.0,0.3,0.0,linear,AST (example minus last)*,0.0,0.0,0.0,linear
apps/mobile/lib/files/hooks.ts,203,renderer closure,\.html?$,i,linear,"run(""0"")+stop",0.0,0.0,0.3,linear,AST (example minus last)*,0.0,0.0,0.1,linear
apps/mobile/lib/files/no-app-error.ts,9,renderer closure,no activity found,i,linear,"run(""0"")+stop",0.0,0.3,0.0,linear,"(""no activity found""+""a"")*",1.2,0.0,0.0,linear
apps/mobile/lib/files/preview-failure.ts,19,renderer closure,\b([1-5]\d{2})\b,,linear,"AST ""\\d{2}"": (prefix+""\n"")*",0.4,0.0,0.0,linear,"AST ""\\d{2}"": prefix+run(""0"")+""\u2029""+x",0.0,0.0,0.0,linear
apps/mobile/lib/files/svg-policy.ts,15,renderer closure,\.svg$,i,linear,"("".svg""+""\r\n"")*",0.7,0.0,0.0,linear,"("".svg"")*",0.0,0.0,0.0,linear
apps/mobile/lib/files/utils.ts,71,renderer closure,^\.+,\.+$|g,SUPERLINEAR,"AST ""\\.+"": prefix+x+run(""."")+""\u2028""+x",84.0,331.0,1330.0,SUPERLINEAR,"AST ""\\.+"": prefix+!+run(""."")+stop",90.9,371.8,1686.4,out of scope: upload file names
apps/mobile/lib/files/utils.ts,81,renderer closure,[^a-zA-Z0-9._-],g,linear,"run("":"")+stop",0.2,0.4,1.1,linear,"run(""/"")+stop",0.1,0.2,0.3,linear
apps/mobile/lib/highlight/match-all-groups.ts,27,renderer closure,(?<g>a),g,linear,"""a""+run(""a"")+""\u2029""+x",0.2,0.5,1.2,linear,"run(""a"")+stop",0.1,0.2,0.4,linear
apps/mobile/lib/highlight/match-all-groups.ts,60,renderer closure,regexp,'g',skip,,,,,skip,,,,,not screened: grammar-defined highlighter regexes
apps/mobile/lib/markdown/inline-code.ts,13,renderer closure,"^#(?:[0-9a-f]{3,4}",[0-9a-f]{6}|[0-9a-f]{8})$|i,linear,"(""#""+""\n"")*",0.1,0.3,0.0,linear,"(""#""+""\n"")*",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/inline-code.ts,21,renderer closure,^[a-z][a-z0-9+.-]*:\/\/\S+$,i,linear,"AST ""\\S+"": prefix+!+run(""a"")+stop",0.0,0.0,0.8,linear,"AST ""[a-z0-9+.-]*"": prefix+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/inline-code.ts,24,renderer closure,"\.\w{1,10}$",,linear,"run(""a"")+stop",0.0,0.7,0.0,linear,AST (example minus last)*,0.0,0.2,0.1,linear
apps/mobile/lib/markdown/inline-code.ts,31,renderer closure,^[a-z][a-z0-9+.-]*:\/\/,i,linear,"""://""+run("" "")+""\u2028""+x",0.0,0.3,0.0,linear,"AST ""[a-z0-9+.-]*"": prefix+x+run(""a"")+stop",0.0,0.1,0.6,linear
apps/mobile/lib/markdown/inline-code.ts,62,renderer closure,[a-z0-9],i,linear,"run(""a"")+stop",0.0,0.3,0.0,linear,"run(""\"""")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/inline-code.ts,63,renderer closure,\s,,linear,"run(""a"")+stop",0.0,0.2,0.0,linear,"run(""."")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/markdown-image.ts,14,renderer closure,^https?:\/\/([^/?#\s]*),i,linear,"""http""+run("" "")+""\u2028""+x",0.1,0.3,0.0,linear,"AST ""[^/?#\\s]*"": prefix+run(""a"")+""\u2028""+x",0.0,0.1,0.1,linear
apps/mobile/lib/markdown/markdown-image.ts,21,renderer closure,\s+,g,linear,"AST (example minus last+""\n"")*",0.0,0.0,0.5,linear,"AST ""\\s+"": prefix+x+run(""a"")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/markdown-layout.ts,247,renderer closure,"^ {0,3}(#{1,6})(?:[ \t]",$)|,linear,"AST "" {0,3}"": prefix+run("" "")+""\u2028""+x",0.3,0.0,0.0,linear,"AST "" {0,3}"": prefix+run(""a"")+""\r""+x",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/markdown-layout.ts,248,renderer closure,"^ {0,3}(?:`{3,}","~{3,})|",linear,"run(""a"")+stop",0.0,0.3,0.0,linear,"AST "" {0,3}"": prefix+run("" "")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/markdown-layout.ts,249,renderer closure,"^ {0,3}(?:[*+-]","\d{1,9}[.)])(?:[ \t]|$)|",linear,"AST (example minus last+""\n"")*",0.0,0.0,0.3,linear,"AST ""\\d{1,9}"": prefix+x+run(""a"")+""\u2029""+x",0.0,0.6,0.0,linear
apps/mobile/lib/markdown/markdown-layout.ts,250,renderer closure,"^ {0,3}>",,linear,""">""+run("" "")+""\u2028""+x",0.0,0.0,0.3,linear,"AST "" {0,3}"": prefix+run("" "")+""\u2028""+x",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/markdown-layout.ts,251,renderer closure,"^ {0,3}\",|,linear,"(""|""+""\n"")*",0.0,0.6,0.0,linear,"run(""\n"")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/markdown-layout.ts,252,renderer closure,"^ {0,3}(?:-{3,}","\*{3,}|_{3,})[ \t]*$|",linear,"run(""a"")+stop",0.0,0.0,0.6,linear,"AST ""_{3,}"": prefix+run(""_"")+almost",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/markdown-layout.ts,253,renderer closure,^(?: {4},\t)|,linear,"AST (example minus last+""\n"")*",0.1,0.7,0.0,linear,"AST "" {4}"": prefix+run(""a"")+""\r""+x",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/markdown-layout.ts,255,renderer closure,"^ {0,3}\${2,}[^$]*$",,linear,"AST ""[^$]*"": (prefix+""\n"")*",0.0,0.0,1.1,linear,"AST ""\\${2,}"": prefix+run(""a"")+""\u2029""+x",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/markdown-layout.ts,275,renderer closure,\r?\n,,linear,"run(""a"")+stop",0.0,0.0,0.3,linear,"run("" "")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/math-plugin.ts,149,renderer closure,\n$,,linear,"(""\n""+""\n"")*",0.0,0.0,0.5,linear,"""\n""+run(""\n"")+stop",0.0,0.1,0.1,linear
apps/mobile/lib/markdown/safe-link.ts,6,renderer closure,^(?:https?,mailto):|i,linear,"(""http""+""\n"")*",0.1,0.0,2.1,linear,"run("" "")+stop",0.1,0.0,0.0,linear
apps/mobile/lib/markdown/split-blocks.ts,23,renderer closure,"^(`{3,}","~{3,})(.*)$|",linear,"AST ""~{3,}"": prefix+x+run(""a"")+""\u2028""+x",0.0,0.3,0.0,linear,"AST "".*"": prefix+x+run("" "")+""\u2029""+x",0.1,0.5,0.1,linear
apps/mobile/lib/markdown/split-blocks.ts,24,renderer closure,"^(`{3,}","~{3,})[ \t]*$|",linear,"AST ""[ \\t]*"": (prefix+""\n"")*",0.0,0.9,0.0,linear,"AST ""[ \\t]*"": prefix+x+run(""\n"")+stop",0.0,1.4,0.0,linear
apps/mobile/lib/markdown/split-blocks.ts,27,renderer closure,"^(\${2,})([^$]*)$",,linear,"AST ""[^$]*"": (prefix+""\n"")*",0.1,0.0,0.9,linear,"AST ""\\${2,}"": prefix+run(""a"")+""\u2029""+x",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/split-blocks.ts,28,renderer closure,"^(\${2,})[ \t]*$",,linear,"AST ""[ \\t]*"": (prefix+""\n"")*",0.0,1.3,0.0,linear,"AST ""[ \\t]*"": prefix+run("" "")+almost",0.0,0.0,0.1,linear
apps/mobile/lib/markdown/split-blocks.ts,29,renderer closure,^[ \t]*$,,linear,"AST ""[ \\t]*"": prefix+run("" "")+""\u2028""+x",0.0,0.5,0.1,linear,"AST ""[ \\t]*"": prefix+run("" "")+""\r""+x",0.0,0.1,0.1,linear
apps/mobile/lib/markdown/split-blocks.ts,30,renderer closure,^[ \t],,linear,"run(""0"")+stop",0.0,1.2,0.0,linear,"run("">"")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/split-blocks.ts,31,renderer closure,"^ {0,3}(?:[*+-]","\d{1,9}[.)])(?:[ \t]|$)|",linear,"run(""a"")+stop",0.0,0.2,0.0,linear,"run("" "")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/split-blocks.ts,32,renderer closure,"^ {0,3}>",,linear,"run(""a"")+stop",0.0,0.0,0.3,linear,"run("" "")+stop",0.0,0.0,0.0,linear
apps/mobile/lib/markdown/split-blocks.ts,33,renderer closure,"^[ \t]*(?:-{3,}","\*{3,}|_{3,})[ \t]*$|",linear,"AST ""[ \\t]*"": (prefix+""\n"")*",0.0,0.5,0.0,linear,"AST ""[ \\t]*"": prefix+run("" "")+""\u2029""+x",0.0,0.1,0.1,linear
apps/mobile/lib/markdown/split-blocks.ts,41,renderer closure,^[ \t]*(?:(?:>,"[*+-]|\d{1,9}[.)])[ \t]*)*\[(?:[^\]\\]|\\[\s\S]){1,999}\]:|m",linear,"AST ""(?:[^\\]\\\\]|\\\\[\\s\\S]){1,9"": (prefix+""\n"")*",13.6,26.1,57.1,linear,"AST ""(?:[^\\]\\\\]|\\\\[\\s\\S]){1,9"": (prefix+""\n"")*",40.4,66.5,129.8,linear
apps/mobile/lib/math/tex-to-svg.ts,183,renderer closure,"^<svg\b[^>]* viewBox=""(-?[\d.]+) (-?[\d.]+) (-?[\d.]+) (-?[\d.]+)""",,linear,"AST ""[\\d.]+"": prefix+x+run(""0"")+stop",0.0,0.0,1.0,linear,"AST ""[\\d.]+"": prefix+run(""0"")+""\u2029""+x",0.0,0.1,0.2,linear
apps/mobile/lib/math/tex-to-svg.ts,184,renderer closure,^<svg\b[^>]*>,,linear,"(""<svg""+""\n"")*",0.1,0.0,1.3,linear,"AST ""[^>]*"": prefix+run("" "")+""\u2028""+x",0.0,0.0,0.1,linear
apps/mobile/lib/math/tex-to-svg.ts,186,renderer closure, (?:style,"width|height|role|focusable|aria-[a-z-]+)=""[^""]*""|g",linear,"(""height""+""\r\n"")*",0.0,0.0,0.5,linear,"AST ""[^\""]*"": (prefix+"" ""+""\n"")*",0.0,0.4,0.1,linear
apps/mobile/lib/math/tex-to-svg.ts,188,renderer closure," data-[a-zA-Z-]+=""[^""]*""",g,linear,"("" data-""+""\n"")*",0.1,0.0,0.7,linear,"(""\""""+"" \n"")*",0.0,0.0,0.3,linear
apps/mobile/lib/math/tex-to-svg.ts,190,renderer closure,<a\b[^>]*>,g,SUPERLINEAR,"(""<a"")*",44.0,171.1,700.8,SUPERLINEAR,AST (example minus last)*,53.8,193.7,837.0,out of scope: MathJax SVG output
